8
Training arguments:
	data_root: /home/sjhu/datasets/medium_dataset/features
	train_list: /home/sjhu/projects/compressed_video_compare/data/datalists/train_sample.txt
	test_list: /home/sjhu/projects/compressed_video_compare/data/datalists/test_sample.txt
	representation: mixed
	arch: r2plus1d_18
	num_segments: 10
	no_accumulation: False
	dropout: 0.25
	keyfeatures: 128
	epochs: 250
	batch_size: 8
	lr: 0.001
	lr_steps: [50.0, 100.0, 150.0]
	lr_decay: 0.1
	weight_decay: 0.001
	gpus: [4, 5, 6, 7]
	workers: 8
	eval_freq: 5
	model_prefix: vcdb_all_r21d18_copy_detection

Initializing model:
    base model:         r2plus1d_18.
    num_segments:       10.
        
model epoch 51 lowest loss 0.24561738383353632
3600 pair videos loaded.
340 pair videos loaded.
Epoch: [51][0/450],	Time 18.920 (18.920)	Data 2.783 (2.783)	siamese Loss 0.0783 (0.0783)	classifier Loss 0.0407 (0.0407)	
Epoch: [52][400/450],	Time 0.910 (0.725)	Data 0.004 (0.013)	siamese Loss 0.0566 (0.1115)	classifier Loss 0.0315 (0.0793)	
Epoch: [52][420/450],	Time 0.918 (0.724)	Data 0.005 (0.013)	siamese Loss 0.0714 (0.1107)	classifier Loss 0.0456 (0.0785)	
Epoch: [52][440/450],	Time 0.910 (0.724)	Data 0.005 (0.012)	siamese Loss 0.0557 (0.1108)	classifier Loss 0.0324 (0.0788)	
Epoch: [53][0/450],	Time 4.581 (4.581)	Data 3.819 (3.819)	siamese Loss 0.0898 (0.0898)	classifier Loss 0.0468 (0.0468)	
Epoch: [53][20/450],	Time 0.909 (0.892)	Data 0.004 (0.185)	siamese Loss 0.1530 (0.0987)	classifier Loss 0.1065 (0.0673)	
Epoch: [53][40/450],	Time 0.908 (0.803)	Data 0.005 (0.097)	siamese Loss 0.1970 (0.1084)	classifier Loss 0.0495 (0.0724)	
Epoch: [53][60/450],	Time 0.914 (0.772)	Data 0.005 (0.067)	siamese Loss 0.1127 (0.1066)	classifier Loss 0.0539 (0.0724)	
Epoch: [53][80/450],	Time 0.909 (0.756)	Data 0.005 (0.051)	siamese Loss 0.0736 (0.1070)	classifier Loss 0.0392 (0.0729)	
Epoch: [53][100/450],	Time 0.914 (0.747)	Data 0.004 (0.042)	siamese Loss 0.1279 (0.1071)	classifier Loss 0.0774 (0.0722)	
Epoch: [53][120/450],	Time 0.908 (0.740)	Data 0.005 (0.036)	siamese Loss 0.1838 (0.1106)	classifier Loss 0.1200 (0.0754)	
Epoch: [53][140/450],	Time 0.925 (0.738)	Data 0.003 (0.031)	siamese Loss 0.0801 (0.1107)	classifier Loss 0.0488 (0.0756)	
Epoch: [53][160/450],	Time 0.917 (0.736)	Data 0.004 (0.028)	siamese Loss 0.1179 (0.1140)	classifier Loss 0.0997 (0.0781)	
Epoch: [53][180/450],	Time 0.923 (0.734)	Data 0.004 (0.026)	siamese Loss 0.0660 (0.1154)	classifier Loss 0.0340 (0.0796)	
Epoch: [53][200/450],	Time 1.011 (0.733)	Data 0.005 (0.023)	siamese Loss 0.0956 (0.1136)	classifier Loss 0.0678 (0.0781)	
Epoch: [53][220/450],	Time 0.920 (0.732)	Data 0.006 (0.022)	siamese Loss 0.0676 (0.1140)	classifier Loss 0.0320 (0.0789)	
Epoch: [53][240/450],	Time 0.907 (0.731)	Data 0.004 (0.020)	siamese Loss 0.1965 (0.1168)	classifier Loss 0.1665 (0.0811)	
Epoch: [53][260/450],	Time 0.941 (0.730)	Data 0.005 (0.019)	siamese Loss 0.2255 (0.1179)	classifier Loss 0.1501 (0.0816)	
Epoch: [53][280/450],	Time 0.912 (0.729)	Data 0.004 (0.018)	siamese Loss 0.0851 (0.1188)	classifier Loss 0.0449 (0.0816)	
Epoch: [53][300/450],	Time 0.916 (0.728)	Data 0.005 (0.017)	siamese Loss 0.1234 (0.1185)	classifier Loss 0.0802 (0.0815)	
Epoch: [53][320/450],	Time 0.933 (0.728)	Data 0.003 (0.016)	siamese Loss 0.0466 (0.1180)	classifier Loss 0.0186 (0.0803)	
Epoch: [53][340/450],	Time 0.917 (0.727)	Data 0.004 (0.016)	siamese Loss 0.0573 (0.1169)	classifier Loss 0.0312 (0.0795)	
Epoch: [53][360/450],	Time 0.918 (0.727)	Data 0.004 (0.015)	siamese Loss 0.1393 (0.1162)	classifier Loss 0.0915 (0.0789)	
Epoch: [53][380/450],	Time 0.913 (0.726)	Data 0.005 (0.014)	siamese Loss 0.2918 (0.1162)	classifier Loss 0.2315 (0.0796)	
Epoch: [53][400/450],	Time 0.908 (0.725)	Data 0.005 (0.014)	siamese Loss 0.1894 (0.1147)	classifier Loss 0.1508 (0.0786)	
Epoch: [53][420/450],	Time 0.935 (0.725)	Data 0.005 (0.013)	siamese Loss 0.1316 (0.1153)	classifier Loss 0.1066 (0.0797)	
Epoch: [53][440/450],	Time 0.910 (0.724)	Data 0.003 (0.013)	siamese Loss 0.1559 (0.1161)	classifier Loss 0.1823 (0.0805)	
